Id,JobTitle,DateOfRegistration,Deadline,JobCategory,ExperienceRequired,EmploymentType,Salary,Address,Category,WorkingHours,CompanyName,JobDescription,ApplicationMethod,Document,Detail
35,[역촌동] 재가요양보호사 구인,등록일 : 2025-07-04,마감일 : 2025-08-03,Not found,경력무관,Not found,"시급 12,700 원 ~ 12,700 원",서울특별시 은평구 서오릉로,은평구,"주6일
09:00 ~ 12:00",서울방문요양센터,Not found,Not found,Not found,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAO002507040006&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
41,[자양동/4등급/여자/오전] 재가 요양보호사 채용,등록일 : 2025-07-04,마감일 : 2025-07-30,Not found,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 광진구 자양번영로3길,광진구,"주5일
주 15시간 근로
09:00 ~ 12:00",친절한 방문요양센터,"직무내용
* 4등급 여자대상자(43년생) 케어/거동가능/독거
* 점심식사 준비/말벗/청소, 세탁 등 일상생활지원
- 외부활동 거의 없음
* 9시 또는 10시 출근시간 협의가능

* 시급: 12,700원(기본:10,030원+주휴수당+연차수당 포함) 지급",Not found,Not found,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAG002507040010&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
42,[동작구 흑석동] 3등급 할머니 오전 요양보호사 구인,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 동작구 흑석로5길,동작구,주5일,정다운재가복지센터,"직무내용
(동작구 흑석동) 3등급 할머니 오전 요양보호사 구인
-신체활동, 일상생활지원, 정서지원
-주5일 급여:08:00~11:00, 추가 2시간 있음(11:00~13:00)
-기본시급+주휴수당등 포함 :13,000원(추가 시간당 14,000원)
-이메일(jmj01345@naver.com), 팩스(02-932-3397), 전화 후 방문(010-9245-2281/ 02-932-3396)","방문,팩스,
이메일 (개인회원 로그인 후 조회가능),
기타 (전화후방문)",이력서,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAM002507040006&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
43,[옥수동/3등급/할아버지/09:30~11:30 주5일]재가 요양보...,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 성동구 독서당로,성동구,"주5일
주 15시간 근로
08:30 ~ 11:30",에이플러스동행노인요양복지센터,"직무내용
3등급 할아버지 오전케어

근무시간 08:30~11:30 주5일

시급 10,030원 (주휴, 수당포함12,700원)","방문,팩스,
기타 (유선 통화 후 면접)","이력서,기타(자격증)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAQ002507040004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
44,[삼청동/4등급] 재가요양보호사 모집,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 종로구 삼청로,종로구,"주6일
주 18시간 근로
08:00 ~ 11:00",해가빛복지센터,"직무내용
[ 삼청동 ] 4등급 할머니 재가요양보호

- 직무내용: 식사차려드리기(음식조리없음), 병원동행, 집주변 산책도움 등 일상생활 지원

- 장기요양급여 적용 근로시간: 1일 3시간

- 주6일 근무 / 근무시간 : 08:00~11:00 (근로시간 외 추가시간 있을 수 있음)

- 시급: 13,000원 (시급 10,030원 + 주휴수당, 연차수당 기타 제수당 포함)","방문,
기타 (전화 후 방문)",기타(요양보호사 자격증),https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAV002507040008&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
45,4등급 독거 할아버지/ 주6일 09:00~12:00/ 보라...,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,재가 요양보호사,"시급 12,700 원 ~ 12,700 원",서울특별시 관악구 신림로68길,관악구,"주6일
주 18시간 근로",사단법인 미션앤컬처 재가노인지원센터,"직무내용
4등급  독거 할아버지/보라매동주민센터인근
*시간[09:00~12:00/오전3시간/주 6일/근무시간협의가능]
*시급[12,700원]
*일상생활지원,정서지원,식사지원(반찬)",Not found,Not found,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAF002507040003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
46,아파트 영선원 모집 - 여의도 진주아파트,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),월급 250 만원 ~ 250 만원,서울특별시 영등포구 국제금융로,영등포구,"주4일
주 48시간 근로",진주아파트입주자대표회,"직무내용
[아파트 영선원 모집]

직무: 여의도 진주아파트 기관실, 영선 업무 - 자격증 무관 

근무시간: 06:00~익일06:00 격일제 (휴게시간 주간 2.5시간, 야간 8시간) / 격일제 

급여: 월2,500,000원

*지원방법: 전화지원 조정열 관리소장 010-4484-9602",기타(* 전화지원 조정열 관리소장 010-4484-9602 / 통화 후 이력서를 문자로 넣어주세요),이력서,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAU002507040010&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
47,고척동 4등급 어머니 재가요양보호사 모십니다.,등록일 : 2025-07-04,마감일 : 2025-07-18,Not found,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 구로구 경서로,구로구,"주5일
주 15시간 근로
09:00 ~ 12:00",오케이방문요양센터,"직무내용
-4등급 어어니 (  주변정리 및 반찬준비 )
-시급  :  12,700원  (주휴수당 + 연차수당 + 기타수당 포함 )
-근무시간 :  주 5일, 주15시간 (09:00~12:00)
-근 무 지 : 서울특별시 구로구 경서로 81(고척동)","방문,
기타 (전화후 방문)",이력서,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KEC0682507040003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
48,[길음동/4등급/오전/주3일] 재가요양보호사 구인,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,재가 요양보호사,"시급 10,030 원 ~ 10,030 원",서울특별시 성북구 서경로,성북구,"주3일
주 9시간 근로
09:00 ~ 12:00",시온사랑데이케어센터,"직무내용
[ 길음동 롯데캐슬골든힐스 아파트 ] 4등급 할아버지 재가요양보호

- 직무내용 : 조리 및 식사준비, 주변정리정돈 등 일상생활 지원등 

- 장기요양급여 적용 근로시간 : 1일 3시간
   
-  월수금 주3일  /  근무시간 : 09:00~12:00

-  시급: 14,000원 (시급 10,030원 + 주휴수당, 연차수당 기타 제수당 포함)","방문,
기타 (통화 후 면접)",기타(자격증사본),https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAV002507040007&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
49,* 가산두산위브A 외곽 미화원,등록일 : 2025-07-04,마감일 : 2025-09-03,Not found,경력무관,건물 청소원,월급 143 만원 ~ 143 만원,서울특별시 금천구 가산로,금천구,"주6일
주 28시간 근로
09:00 ~ 15:00",(주)진성관리,"직무내용
▶금천구 가산두산위브A 외곽 미화원 구인
▶근무시간 09:00~15:00(휴게 1시간) / 토요일은 09:00~12:00 => 주소정근로 28시간
▶급여 : 1,438,210원
▶설, 추석, 하계휴가비 10만원(수습기간 1개월 이후 지급)
▶미화반장님 010-8001-0420","방문,
기타 (현장면접일: 12.24(화) 15시 면접예정)",이력서,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAK002507040007&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
